ABZA	ABZENA PLC	ORD GBP0.002	GB00BN65QN46	SHRS	Health Care	Health Care	10/07/2014	United Kingdom	GBX	£33.74	AIM		ASQ1	AMQ1
ACA	ACACIA MINING PLC	ORD 10P	GB00B61D2N63	SHRS	Basic Materials	Basic Resources	19/03/2010	United Kingdom	GBX	£544.18	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
ACC	ACCESS INTELLIGENCE PLC	ORD 0.5P	GB0033835264	SHRS	Technology	Technology	01/12/2003	United Kingdom	GBX	£27.42	AIM		ASX1	AIMP
ACSO	ACCESSO TECHNOLOGY GROUP PLC	ORD 1P	GB0001771426	SHRS	Technology	Technology	24/04/2002	United Kingdom	GBX	£793.95	AIM		ASQ1	AMQ1
ACRL	ACCROL GROUP HOLDINGS PLC	ORD GBP0.001	GB00BZ6VT592	SHRS	Consumer Goods	Personal & Household Goods	10/06/2016	United Kingdom	GBX	£43.93	AIM		ASQ1	AMQ1
AXS	ACCSYS TECHNOLOGIES PLC	ORD EUR0.05	GB00BQQFX454	SHRS	Industrials	Construction & Materials	12/09/2014	United Kingdom	GBX	£116.39	AIM		SSMU	AIMF
ACD	ACENCIA DEBT STRATEGIES LTD	ORD NPV	GB00B0MSB420	SHRS	Financials	Financial Services	24/11/2005	Guernsey	USD	£63.98	MAIN MARKET		SET3	ON15
AIF	ACORN INCOME FUND LD	ORD 1P	GB0004829437	SHRS			13/09/1999	Guernsey	GBX	£67.46	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AIFZ	ACORN INCOME FUND LD	RED ZDP 1P	GG00BYMJ7X48	SHRS			01/02/2017	Guernsey	GBX		MAIN MARKET	Standard Shares	SSQ3	SQS3
AHCG	ACTION HOTELS PLC	ORD 10P	JE00BFZD1492	SHRS	Consumer Services	Travel & Leisure	23/12/2013	Jersey	GBX	£33.96	AIM		ASQ1	AMQ1
AEG	ACTIVE ENERGY GROUP PLC	ORD 1P	GB00B1YMN108	SHRS	Oil & Gas	Oil & Gas	02/07/2007	United Kingdom	GBX	£24.79	AIM		ASQ1	AMQ1
ACT	ACTUAL EXPERIENCE PLC	ORD 0.2P	GB00BJ05QC14	SHRS	Technology	Technology	13/02/2014	United Kingdom	GBX	£96.54	AIM		ASQ1	AMQ1
ADAM	ADAMAS FINANCE ASIA LIMITED	ORD NPV (DI)	VGG008271246	SHRS	Financials	Financial Services	21/09/2017	British Virgin Islands	USD	£37.61	AIM		ASQ1	AMQ1
ADA	ADAMS PLC	ORD EUR0.01	IM00B986V543	SHRS	Financials	Real Estate	13/08/2018	Isle of Man	GBX	£1.24	AIM		ASQ1	AMQ1
AD4	ADEPT4 PLC 	ORD 1P	GB00B8GRBX01	SHRS	Technology	Technology	02/04/2013	United Kingdom	GBX	£4.20	AIM		ASX1	AIMP
ADT	ADEPT TELECOM PLC	ORD 10P	GB00B0WY3Y47	SHRS	Telecommunications	Telecommunications	19/09/2006	United Kingdom	GBX	£97.18	AIM		ASX1	AIMP
ADES	ADES INTERNATIONAL HOLDING LTD	ORD USD1.00 (DI)	AEDFXA1EN018	SHRS	Oil & Gas	Oil & Gas	12/05/2017	United Arab Emirates	USD	£438.52	MAIN MARKET	Standard Shares	SSMU	SMEU
ADM	ADMIRAL GROUP PLC	ORD 0.1P	GB00B02J6398	SHRS	Financials	Insurance	20/12/2004	United Kingdom	GBX	£5,994.62	MAIN MARKET	Premium Equity Commercial Companies	SET1	FS10
AMS	ADVANCED MEDICAL SOLUTIONS GROUP PLC	ORD 5P	GB0004536594	SHRS	Health Care	Health Care	30/04/2002	United Kingdom	GBX	£705.43	AIM		AMSM	AS50
AVO	ADVANCED ONCOTHERAPY PLC	ORD 25P	GB00BD6SX109	SHRS	Health Care	Health Care	01/07/2016	United Kingdom	GBX	£72.07	AIM		ASX1	AIMP
AFN	ADVFN PLC	ORD 0.2P	GB00BPT24C10	SHRS	Financials	Financial Services	21/08/2014	United Kingdom	GBX	£7.05	AIM		ASX1	AIMP
87FZ	AECI LD	5 1/2% CUM PRF R2	ZAE000000238	SHRS	Basic Materials	Chemicals	28/06/2002	South Africa	GBX		MAIN MARKET	Standard Shares	SSX4	SXSN
AEO	AEOREMA COMMUNICATIONS PLC	ORD 12.5P	GB00B4QHH456	SHRS	Consumer Services	Media	29/06/2009	United Kingdom	GBX	£2.53	AIM		ASX1	AIMP
AEWL	AEW UK LONG LEASE REIT PLC	ORD GBP0.01	GB00BDVK7088	SHRS	Financials	Real Estate	06/06/2017	United Kingdom	GBX	£76.07	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AEWU	AEW UK REIT PLC	ORD GBP0.01	GB00BWD24154	SHRS	Financials	Real Estate	12/05/2015	United Kingdom	GBX	£144.59	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AFRK	AFARAK GROUP PLC	ORD NPV (DI)	FI0009800098	SHRS	Basic Materials	Basic Resources	26/07/2010	Finland	GBX	£203.86	MAIN MARKET	Standard Shares	SSQ3	SQS3
AFC	AFC ENERGY PLC	ORD 0.1P	GB00B18S7B29	SHRS	Oil & Gas	Oil & Gas	24/04/2007	United Kingdom	GBX	£26.91	AIM		AMSM	ASM6
AFHP	AFH FINANCIAL GROUP PLC	ORD 10P	GB00B4W5WQ08	SHRS	Financials	Financial Services	30/06/2014	United Kingdom	GBX	£152.47	AIM		ASQ1	AMQ1
AFRB	AFI DEVELOPMENT PLC	B ORD USD0.001	CY0101380612	SHRS	Financials	Real Estate	05/07/2010	Cyprus	USD	£86.37	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON10
ABM	AFRICAN BATTERY METALS PLC	ORD 0.1P	GB00BYWJZ743	SHRS	Basic Materials	Basic Resources	29/08/2018	United Kingdom	GBX	£3.18	AIM		ASQ1	AMQ1
AOF	AFRICA OPPORTUNITY FUND LIMITED	ORD USD0.01	KYG012921048	SHRS	Financials	Financial Services	24/07/2007	Cayman Islands	USD	£41.90	MAIN MARKET - SFS		SFM3	SFNC
ATM	AFRITIN MINING LIMITED	ORD NPV	GG00BD95V148	SHRS	Basic Materials	Basic Resources	09/11/2017	Guernsey	GBX	£18.45	AIM		ASQ1	AMQ1
AMPH	AGGREGATED MICRO POWER HOLDINGS PLC	ORD 0.5P	GB00BC4F3V69	SHRS	Utilities	Utilities	18/07/2014	United Kingdom	GBX	£47.51	AIM		ASQ1	AMQ1
AGK	AGGREKO PLC	ORD 4 329/395P	GB00BK1PTB77	SHRS	Industrials	Industrial Goods & Services	28/05/2014	United Kingdom	GBX	£2,233.95	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25F
AGTA	AGRITERRA LD	ORD 10P	GG00BDG13C09	SHRS	Consumer Goods	Food & Beverage	01/12/2017	Guernsey	GBX	£2.55	AIM		AMSM	ASM8
AIBG	AIB GROUP PLC	ORD EUR0.625	IE00BF0L3536	SHRS	Financials	Banks	11/12/2017	Ireland	EUR	£10,758.60	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON5
AIQ	AIQ LIMITED	ORDS GBP0.01 (DI)	KYG0180A1022	SHRS	Financials	Financial Services	09/01/2018	Cayman Islands	GBX	£16.85	MAIN MARKET	Standard Shares	SSQ3	SQS3
AIRC	AIR CHINA LD	H SHS CNY1	CNE1000001S0	SHRS	Consumer Services	Travel & Leisure	17/10/2007	China	GBX	£3,316.96	MAIN MARKET	Standard Shares	SSX4	SXSN
AIEA	AIREA PLC	ORD 25P	GB0008123027	SHRS	Consumer Goods	Personal & Household Goods	21/12/2005	United Kingdom	GBX	£23.57	AIM		ASX1	AIMP
AIR	AIR PARTNER PLC	ORD 1P	GB00BD736828	SHRS	Consumer Services	Travel & Leisure	31/01/2017	United Kingdom	GBX	£57.31	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON15
AKR	AKERS BIOSCIENCES, INC.	COM SHS NPV	US00973E1029	SHRS	Health Care	Health Care	22/11/2013	United States	GBX	£19.29	AIM		ASX1	AIMP
ALBA	ALBA MINERAL RESOURCES PLC	ORD 0.1P	GB00B06KBB18	SHRS	Basic Materials	Basic Resources	04/04/2005	United Kingdom	GBX	£12.29	AIM		ASQ1	AMQ1
ALB	ALBERT TECHNOLOGIES LTD	ORD NIS0.01 (DI)	IL0011354904	SHRS	Technology	Technology	11/06/2015	Israel	GBX	£24.61	AIM		ASQ1	AMQ1
AADV	ALBION DEVELOPMENT VCT PLC	ORD 1P	GB0004832472	SHRS	Financials	Financial Services	27/01/1999	United Kingdom	GBX	£57.77	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AAEV	ALBION ENTERPRISE VCT PLC	ORD 1P	GB00B1G3LR35	SHRS	Financials	Financial Services	10/04/2007	United Kingdom	GBX	£61.32	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AATG	ALBION TECHNOLOGY & GENERAL VCT PLC	ORD 1P	GB0005581672	SHRS	Financials	Financial Services	17/01/2001	United Kingdom	GBX	£74.49	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AAVC	ALBION VENTURE CAPITAL TST PLC	ORD 1P	GB0002039625	SHRS	Financials	Financial Services	14/09/1999	United Kingdom	GBX	£62.36	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AEFS	ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED	RED ORD NPV GBP	GG00B6116N85	SHRS	Financials	Financial Services	06/03/2012	Guernsey	GBX	£152.90	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
AXM	ALEXANDER MINING PLC	ORD 0.1P	GB00B06K1665	SHRS	Basic Materials	Basic Resources	04/04/2005	United Kingdom	GBX	£2.08	AIM		ASX1	AIMP
ALFA	ALFA FINANCIAL SOFTWARE HOLDINGS PLC	ORD 0.1P	GB00BDHXPG30	SHRS	Technology	Technology	01/06/2017	United Kingdom	GBX	£410.40	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC4
AAA	ALL ASIA ASSET CAPITAL LIMITED	ORD NPV (DI)	VGG017801082	SHRS	Financials	Financial Services	02/05/2013	British Virgin Islands	GBX	£4.26	AIM		ASQ1	AMQ1
AGY	ALLERGY THERAPEUTICS PLC	ORD 0.1P	GB00B02LCQ05	SHRS	Health Care	Health Care	11/10/2004	United Kingdom	GBX	£154.27	AIM		ASQ1	AMQ1
APH	ALLIANCE PHARMA PLC	ORD 1P	GB0031030819	SHRS	Health Care	Health Care	24/03/2005	United Kingdom	GBX	£339.98	AIM		AMSM	AS50
ATST	ALLIANCE TRUST PLC	ORD 2.5P	GB00B11V7W98	SHRS	Financials	Financial Services	21/06/2006	United Kingdom	GBX	£2,613.50	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
ATT	ALLIANZ TECHNOLOGY TRUST PLC	ORD 25P	GB0003390720	SHRS	Financials	Financial Services	01/05/2007	United Kingdom	GBX	£518.03	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ALM	ALLIED MINDS PLC	ORD 1P	GB00BLRLH124	SHRS	Financials	Financial Services	25/06/2014	United Kingdom	GBX	£173.99	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
AFM	ALPHA FINANCIAL MARKETS CONSULTING PLC	ORD 0.075P	GB00BF16C058	SHRS	Industrials	Industrial Goods & Services	11/10/2017	United Kingdom	GBX	£254.72	AIM		ASQ1	AMQ1
AFX	ALPHA FX GROUP PLC	ORD 0.2P	GB00BF1TM596	SHRS	Financials	Financial Services	07/04/2017	United Kingdom	GBX	£211.63	AIM		ASQ1	AMQ1
ALGW	ALPHA GROWTH PLC	ORD GBP0.001	GB00BYWKBC49	SHRS	Financials	Financial Services	20/12/2017	United Kingdom	GBX	£2.29	MAIN MARKET	Standard Shares	SSQ3	SQS3
ARTL	ALPHA REAL TRUST LIMITED	ORD NPV	GB00B13VDP26	SHRS	Financials	Real Estate	21/12/2006	Guernsey	GBX	£88.01	MAIN MARKET - SFS		SFM2	SFQQ
ALF	ALTERNATIVE LIQUIDITY FUND LIMITED	ORD USD0.01	GG00BYRGPD65	SHRS	Financials	Financial Services	17/09/2015	Guernsey	USD	£17.43	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET3	ON10
ALT	ALTITUDE GROUP PLC	ORD 0.4P	GB00B0LSFV82	SHRS	Industrials	Industrial Goods & Services	19/09/2006	United Kingdom	GBX	£43.96	AIM		ASQ1	AMQ1
ANR	ALTONA ENERGY PLC	ORD 0.01P	GB00B06GJT32	SHRS	Basic Materials	Basic Resources	10/03/2005	United Kingdom	GBX	£4.13	AIM		ASX1	AIMP
ALS	ALTUS STRATEGIES PLC	ORD 1P	GB00BYT26M80	SHRS	Basic Materials	Basic Resources	10/08/2017	United Kingdom	GBX	£6.13	AIM		ASQ1	AMQ1
ALTN	ALTYN PLC	ORD 0.1P	GB00B015PT76	SHRS	Basic Materials	Basic Resources	10/06/2004	United Kingdom	GBX	£20.54	MAIN MARKET	Standard Shares	SET3	ON15
ALU	ALUMASC GROUP PLC	ORD 12.5P	GB0000280353	SHRS	Industrials	Construction & Materials	15/02/2000	United Kingdom	GBX	£50.41	MAIN MARKET	Premium Equity Commercial Companies	SSQ3	SQQ3
AMAT	AMATI AIM VCT PLC	ORD 5P	GB00B641BB82	SHRS	Financials	Financial Services	10/11/2011	United Kingdom	GBX	£142.99	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AA4	AMEDEO AIR FOUR PLUS LIMITED	RED ORD NPV	GG00BWC53H48	SHRS	Industrials	Industrial Goods & Services	13/05/2015	Guernsey	GBX	£690.42	MAIN MARKET - SFS		SFM2	SFQQ
AMED	AMEDEO RESOURCES PLC	ORD 10P	GB00BZ0XVY42	SHRS	Financials	Financial Services	01/07/2015	United Kingdom	GBX	£3.10	AIM		ASX1	AIMP
AMER	AMERISUR RESOURCES PLC	ORD 0.1P	GB0032087826	SHRS	Oil & Gas	Oil & Gas	29/07/2004	United Kingdom	GBX	£143.89	AIM		AMSM	ASM6
AFS	AMIAD WATER SYSTEMS LTD	ORD ILS0.5	IL0010943905	SHRS	Industrials	Industrial Goods & Services	05/12/2005	Israel	GBX	£56.21	AIM		ASX1	AIMP
AMGO	AMIGO HOLDINGS PLC	ORD 0.25P	GB00BFFK8T45	SHRS	Financials	Financial Services	04/07/2018	United Kingdom	GBX	£1,172.17	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25T
AEX	AMINEX PLC	ORD EUR0.001	IE0003073255	SHRS	Oil & Gas	Oil & Gas	16/09/1996	Ireland	GBX	£61.03	MAIN MARKET	Premium Equity Commercial Companies	SSQ3	SQQ3
AMO	AMINO TECHNOLOGIES PLC	ORD 1P	GB00B013SN63	SHRS	Technology	Technology	19/12/2005	United Kingdom	GBX	£151.11	AIM		ASQ1	AMQ1
AMP	AMPHION INNOVATIONS PLC	ORD 1P	GB00B0DJNP99	SHRS	Financials	Financial Services	20/03/2007	Isle of Man	GBX	£1.42	AIM		ASX1	AIMP
AMYT	AMRYT PHARMA PLC	ORD 1P	GB00BDD1LS57	SHRS	Health Care	Health Care	19/04/2016	United Kingdom	GBX	£46.03	AIM		ASQ1	AMQ1
AMC	AMUR MINERALS CORPORATION	ORD NPV	VGG042401007	SHRS	Basic Materials	Basic Resources	15/03/2006	British Virgin Islands	GBX	£30.03	AIM		AMSM	ASM6
ADL	ANDALAS ENERGY AND POWER PLC	ORD NPV	IM00BZ7PNY71	SHRS	Oil & Gas	Oil & Gas	10/08/2018	Isle of Man	GBX	£3.24	AIM		ASQ1	AMQ1
ASY	ANDREWS SYKES GROUP PLC	ORD 1P	GB0002684552	SHRS	Industrials	Industrial Goods & Services	24/12/2001	United Kingdom	GBX	£274.13	AIM		ASQ1	AMQ1
ANX	ANEXO GROUP PLC	ORD 0.05P	GB00BF2G3L29	SHRS	Industrials	Industrial Goods & Services	20/06/2018	United Kingdom	GBX	£138.60	AIM		ASQ1	AMQ1
AGL	ANGLE PLC	ORD 10P	GB0034330679	SHRS	Health Care	Health Care	23/12/2004	United Kingdom	GBX	£63.05	AIM		ASX1	AIMP
AYM	ANGLESEY MINING PLC	ORD 1P	GB0000320472	SHRS	Basic Materials	Basic Resources	08/09/2005	United Kingdom	GBX	£2.58	MAIN MARKET	Premium Equity Commercial Companies	SSQ3	SQQ3
ANG	ANGLING DIRECT PLC	ORD 1P	GB00BF1XGQ00	SHRS	Consumer Services	Retail	13/07/2017	United Kingdom	GBX	£44.72	AIM		ASQ1	AMQ1
AAAP	ANGLO AFRICAN AGRICULTURE PLC	ORD 0.1P	GB00B7V2GY97	SHRS	Financials	Financial Services	30/07/2015	United Kingdom	GBX	£1.94	MAIN MARKET	Standard Shares	SSQ3	SQS3
AAOG	ANGLO AFRICAN OIL & GAS PLC	ORD 5P	GB00BD0Q3L08	SHRS	Oil & Gas	Oil & Gas	06/03/2017	United Kingdom	GBX	£14.99	AIM		ASQ1	AMQ1
AAL	ANGLO AMERICAN PLC	ORD USD0.54945	GB00B1XZS820	SHRS	Basic Materials	Basic Resources	02/07/2007	United Kingdom	GBX	£24,204.25	MAIN MARKET	Premium Equity Commercial Companies	SET1	FE10
AAZ	ANGLO ASIAN MINING PLC	ORD 1P	GB00B0C18177	SHRS	Basic Materials	Basic Resources	17/07/2006	United Kingdom	GBX	£75.45	AIM		ASQ1	AMQ1
AEP	ANGLO-EASTERN PLANTATIONS PLC	ORD 25P	GB0000365774	SHRS	Consumer Goods	Food & Beverage	12/12/2005	United Kingdom	GBX	£225.93	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
APF	ANGLO PACIFIC GROUP PLC	ORD 2P	GB0006449366	SHRS	Basic Materials	Basic Resources	02/12/2005	United Kingdom	GBX	£265.78	MAIN MARKET	Standard Shares	SSMU	SMEV
ANGS	ANGUS ENERGY PLC	ORD GBP0.002	GB00BYWKC989	SHRS	Oil & Gas	Oil & Gas	14/11/2016	United Kingdom	GBX	£30.54	AIM		ASQ1	AMQ1
ANCR	ANIMALCARE GROUP PLC	ORD 20P	GB0032350695	SHRS	Health Care	Health Care	15/01/2008	United Kingdom	GBX	£112.24	AIM		ASQ1	AMQ1
ANP	ANPARIO PLC	ORD 23P	GB00B3NWT178	SHRS	Health Care	Health Care	04/10/2010	United Kingdom	GBX	£114.59	AIM		ASX1	AIMP
70GD	ANTOFAGASTA PLC	5% CUM PRF #1	GB0000455849	SHRS	Basic Materials	Basic Resources	28/06/2002	United Kingdom	GBX		MAIN MARKET	Standard Shares	SSX4	SXSN
ANTO	ANTOFAGASTA PLC	ORD 5P	GB0000456144	SHRS	Basic Materials	Basic Resources	08/03/2004	United Kingdom	GBX	£8,429.07	MAIN MARKET	Premium Equity Commercial Companies	SET1	FS10
AOR	AORTECH INTERNATIONAL PLC	ORD 5P	GB0033360586	SHRS	Health Care	Health Care	01/09/2003	United Kingdom	GBX	£10.57	AIM		ASX1	AIMP
AO.	AO WORLD PLC	ORD 0.25P	GB00BJTNFH41	SHRS	Consumer Services	Retail	01/03/2014	United Kingdom	GBX	£642.30	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
APAX	APAX GLOBAL ALPHA LIMITED	ORD NPV	GG00BWWYMV85	SHRS	Financials	Financial Services	15/06/2015	Guernsey	GBX	£670.35	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
APC	APC TECHNOLOGY GROUP PLC	ORD 2P	GB0000373984	SHRS	Industrials	Industrial Goods & Services	23/12/2004	United Kingdom	GBX	£13.04	AIM		ASX1	AIMP
APGN	APPLEGREEN PLC	ORD EUR0.01	IE00BXC8D038	SHRS	Consumer Services	Retail	19/06/2015	Ireland	GBX	£528.27	AIM		ASQ1	AMQ1
AGM	APPLIED GRAPHENE MATERIALS PLC	ORD 2P	GB00BFSSB742	SHRS	Basic Materials	Chemicals	20/11/2013	United Kingdom	GBX	£22.00	AIM		ASQ1	AMQ1
APPS	APPSCATTER GROUP PLC	ORD 5P	GB00BF54H884	SHRS	Technology	Technology	05/09/2017	United Kingdom	GBX	£26.65	AIM		ASQ1	AMQ1
APQ	APQ GLOBAL LIMITED	ORD NPV	GG00BZ6VP173	SHRS	Financials	Financial Services	26/08/2016	Guernsey	GBX	£68.69	AIM		ASQ1	AMQ1
AQSG	AQUILA SERVICES GROUP PLC	ORD 5P	GB00BPYP3Q26	SHRS	Financials	Financial Services	28/08/2014	United Kingdom	GBX	£14.64	MAIN MARKET	Standard Shares	SSQ3	SQS3
AQX	AQUIS EXCHANGE PLC	ORD 10P	GB00BD5JNK30	SHRS	Financials	Financial Services	14/06/2018	United Kingdom	GBX	£118.78	AIM		ASQ1	AMQ1
ARBB	ARBUTHNOT BANKING GROUP PLC	ORD 1P	GB0007922338	SHRS	Financials	Financial Services	27/06/2005	United Kingdom	GBX	£215.15	AIM		AMSM	ASM7
ARCM	ARC MINERALS LIMITED	ORDS NPV (DI)	VGG045791016	SHRS	Basic Materials	Basic Resources	22/01/2018	British Virgin Islands	GBX	£23.46	AIM		ASX1	AIMP
